,Year,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Location,Origin,Aid_Contribution,Dis_Mag_Value,Latitude,Longitude,Local Time,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,Total_Affected,Total_Damages_USD,CPI
0,1900,Natural,Climatological,Drought,Drought,Bengal,,,,,,,1900,,,1900,,,1250000.0,,,3.2613889831939
1,1905,Natural,Geophysical,Earthquake,Ground movement,Kangra,,,8.0,32.04,76.16,06:20,1905,4.0,4.0,1905,4.0,4.0,20000.0,,25000.0,3.5223001018494
2,1907,Natural,Biological,Epidemic,Bacterial disease,,,,,,,,1907,,,1907,,,1300000.0,,,3.6527556611772
3,1908,Technological,Technological,Industrial accident,Explosion,Nadu Khas,,,,,,,1908,,,1908,,,20.0,,,3.5223001018494
4,1910,Technological,Technological,Industrial accident,Explosion,Dishergarh,,,,,,,1910,,,1910,,,11.0,,,3.6527556611772
5,1910,Technological,Technological,Industrial accident,Explosion,Sitalpur,,,,,,,1910,,,1910,,,14.0,,,3.6527556611772
6,1910,Technological,Technological,Industrial accident,Explosion,Nambarg,,,,,,,1910,,,1910,,,14.0,,,3.6527556611772
7,1916,Natural,Meteorological,Storm,Tropical cyclone,"Cuddalore, Pondicherry",,,,,,,1916,11.0,21.0,1916,11.0,21.0,300.0,,,4.2658967900176
8,1920,Natural,Biological,Epidemic,Bacterial disease,,,,,,,,1920,,,1920,,,2000000.0,,,7.8534246715309
9,1920,Natural,Biological,Epidemic,Bacterial disease,,,,,,,,1920,,,1920,,,500000.0,,,7.8534246715309
10,1924,Natural,Meteorological,Storm,Tropical cyclone,Punjab province,,,,,,,1924,9.0,23.0,1924,9.0,23.0,1242.0,1000000.0,,6.7184613053794
11,1924,Natural,Biological,Epidemic,Bacterial disease,,,,,,,,1924,,,1924,,,300000.0,,,6.7184613053794
12,1925,Natural,Meteorological,Storm,Tropical cyclone,"Bezwada, Masulipatam",,,,,,,1925,5.0,10.0,1925,5.0,10.0,80.0,,,6.8750079765728
13,1926,Natural,Hydrological,Flood,Riverine flood,Bengal,,,,,,,1926,7.0,19.0,1926,7.0,19.0,,,,6.9402357562366
14,1926,Natural,Biological,Epidemic,Viral disease,,,,,,,,1926,,,1926,,,423000.0,,,6.9402357562366
15,1927,Natural,Meteorological,Storm,Tropical cyclone,"Gujarat, Ahmedabad, Baroda",,,,,,,1927,7.0,23.0,1927,7.0,23.0,56.0,40010.0,,6.8097801969089
16,1927,Natural,Meteorological,Storm,Tropical cyclone,Nellore,,,,,,,1927,11.0,1.0,1927,11.0,1.0,629.0,,,6.8097801969089
17,1928,Natural,Hydrological,Flood,,"Godavari, Vizagapatnam",,,,,,,1928,10.0,19.0,1928,10.0,19.0,36.0,2000.0,,6.7315068613122
18,1935,Natural,Meteorological,Storm,Tropical cyclone,,,,,,,,1935,,,1935,,,60000.0,,,5.3747690443035
